id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
777507216237797945,Seaside apartment with balcony - Central,43929162,Per-Christian,,Gamle Oslo,59.9034225,10.7557758,Entire home/apt,1156,2,61,2024-06-10,3.30,3,158,49,
777528393562757193,"Comfortable room, city centre",252896074,Magdalena,,Gamle Oslo,59.91303,10.76449,Private room,2265,1,63,2024-06-11,3.33,6,360,43,
778035605675237113,Barcode View-Exclusive apartment near city center,58865973,Kevin,,Gamle Oslo,59.90419,10.75544,Entire home/apt,3900,2,4,2024-06-14,0.29,17,179,3,
778870975312986097,"Hyggelig 1-roms  leil., med sovesofa på Rosenhoff.",148615776,Grete,,Grünerløkka,59.93137209931928,10.775265248956638,Entire home/apt,750,14,3,2023-08-19,0.18,1,179,2,
778977229197742562,Koselig loftsleilighet,70808459,Kristian,,Gamle Oslo,59.9065537,10.7772277,Entire home/apt,1450,2,0,,,1,153,0,
778995515137721465,Central Oslo-penthouse with a view,1277970,Robin,,Grünerløkka,59.92119959999999,10.7582272,Entire home/apt,3250,4,9,2024-06-25,0.69,1,335,7,
779072312134613082,Enebolig m/hage og plass til 10.ved  Ekeberg,403246874,Liv Janne,,Nordstrand,59.86494,10.7994,Entire home/apt,,6,2,2023-08-12,0.18,1,4,2,
779384421362430159,4-roms sentralt i Oslo,7164928,Julie,,Grünerløkka,59.91968,10.79085,Entire home/apt,,3,2,2023-04-10,0.11,1,38,0,
779560301227671853,Leilighet Til Kort Tids Leie. 27.Des.-27. Januar.,491028141,Alexander Bent,,Frogner,59.92752580000001,10.7252417,Entire home/apt,800,28,0,,,1,362,0,
779687262603376384,Spacious apt with 2 private balconies,17952722,Ole Daniel,,Frogner,59.9189931,10.703166,Entire home/apt,1247,2,27,2024-06-20,1.75,1,101,22,
779702654009654811,Leilighet i Nydalen/Oslo.Garasjeplass & elbillader,119412631,Frida,,Sagene,59.94618639999999,10.7612105,Entire home/apt,1300,2,2,2023-05-01,0.11,1,295,0,
779737102935721417,Leilighet på Majorstuen med parkering,310629454,Jonas,,Frogner,59.92817119999999,10.7130125,Entire home/apt,1286,4,19,2023-08-14,1.05,1,27,13,
779738493613047907,Sentral leilighet i Oslo,490926273,Edvard,,Grünerløkka,59.92798707404628,10.774981096295164,Entire home/apt,1371,2,9,2024-06-17,0.49,1,225,7,
779760147592554821,Cozy apartment,491074156,Nora,,Grünerløkka,59.93125567523533,10.762140207849253,Entire home/apt,1057,3,12,2024-06-02,1.08,1,46,12,
780275908112503716,Sjarmerende leilighet på nedre Torshov,76810741,Ragnhild,,Sagene,59.93279448862341,10.765657760202885,Entire home/apt,,3,7,2024-05-01,0.42,1,0,1,
780323473422541442,Eksklusiv og sentral beliggenhet med vakker utsikt,176790363,Ingrid,,Frogner,59.92308285677149,10.724322479229937,Entire home/apt,1200,5,0,,,1,152,0,
780459433603999998,Bjerke private room II,491086421,Andrei Catalin,,Bjerke,59.94023,10.80866,Private room,650,4,8,2024-04-30,0.62,2,57,7,
780885952625075266,Lovely apartment. Max 4 people (two double beds),34666200,Marthe,,Grorud,59.957706513306825,10.86457809814758,Private room,1600,2,0,,,1,362,0,
781026939071809601,"Koselig leilighet, sentralt og rolig",14401097,Vibeke,,Sagene,59.9321099,10.7539745,Entire home/apt,936,13,21,2024-06-25,1.41,1,344,15,
781096599819699931,Retro airbnb,38930784,Lars,,Frogner,59.9299663,10.7134093,Private room,,1,41,2024-06-15,2.27,1,0,25,
781101524355244819,Cozy apt in Bjølsen with 1 bedroom and a balcony,473208,Mette,,Sagene,59.9438983,10.7587767,Entire home/apt,1000,3,2,2023-07-01,0.12,1,116,1,
781265533794571461,Classical apartment from 1890,44361394,Kristoffer,,Gamle Oslo,59.90699431565276,10.774972834041442,Entire home/apt,1400,2,3,2024-06-16,1.01,2,16,3,
781752943968275177,Prime Location: Modern Studio in Downtown Oslo,89982546,Knut,,Sentrum,59.9111497,10.743811,Entire home/apt,899,2,34,2024-06-18,1.88,1,253,30,
781756463475115297,Super central penthouse apt free parking,25927831,Haakon,,St. Hanshaugen,59.91606,10.74992,Entire home/apt,4084,3,40,2024-06-14,2.18,23,70,23,
781940798514940049,Studio apartment (no overnight),22324986,Magnus,,Gamle Oslo,59.91138,10.78971,Entire home/apt,8571,1,0,,,1,180,0,
782221828914590408,"Cozy, bright flat in Grünerløkka",151621347,Tete,,Grünerløkka,59.91893,10.76516,Entire home/apt,1500,6,0,,,1,83,0,
782463968955836357,"Koselig, med balkong nær sentrum",61195470,Susanne,,Ullern,59.93597,10.66691,Entire home/apt,700,2,0,,,1,361,0,
782468898944640499,Eksklusiv leilighet på Frogner,166460903,Nikolai,,Frogner,59.9194097,10.7015165,Entire home/apt,1857,2,38,2024-05-27,2.08,2,145,18,
782470611614851455,Sentral og fin leilighet,491532121,Line,,Grünerløkka,59.92834,10.76853,Entire home/apt,1157,3,1,2023-12-10,0.15,1,33,1,
782628160165771908,Møblert kjellerleilighet i rolige omgivelser,262648733,Celine,,Nordre Aker,59.9520083,10.7775838,Entire home/apt,1000,4,0,,,1,89,0,
782782356712325560,Oslo central Centrum/Grünerløkka  whole apartment,76488558,Jarle,,St. Hanshaugen,59.918393476476844,10.751006794152891,Entire home/apt,1500,2,1,2023-05-01,0.07,1,363,0,
783135511833473199,Strøken leilighet i matparadis,370918615,Per Thomas,,Grünerløkka,59.92162539999999,10.7518654,Entire home/apt,3190,2,4,2024-06-03,0.35,1,365,4,
783355634755707109,Koselig og sentral leilighet,491689546,Jeremy,,St. Hanshaugen,59.9276724220497,10.750064067542553,Entire home/apt,1086,1,1,2023-02-08,0.06,1,365,0,
783733776330294205,sentral leilighet,488133898,Omar,,Gamle Oslo,59.91781,10.79278,Entire home/apt,1179,1,0,,,1,365,0,
784183423299684571,Sentralt funkishus med terrasse ved golfbane,58484888,Ståle,,Vestre Aker,59.94852789999999,10.6387511,Entire home/apt,,1,14,2024-03-10,0.77,1,0,11,
784587983413357716,Sentralt på Majorstuen inkludert parkering!,352568856,Vilde Kristine,,Frogner,59.92718,10.71636,Entire home/apt,928,3,33,2024-06-25,1.81,1,318,22,
785227962043410287,Private room in the center of Oslo,477867724,Anna,,Gamle Oslo,59.907082101770825,10.757499316735803,Private room,1900,2,1,2023-07-30,0.09,1,49,1,
785237669570077442,Koselig leilighet i Oslo sentrum,114051705,Elise,,Grünerløkka,59.9211318,10.7662726,Entire home/apt,1500,3,5,2023-11-12,0.29,1,134,3,
785662952382282119,Sentrumsnært,176273929,Kevin,,Grünerløkka,59.9220804,10.7626248,Entire home/apt,1336,2,15,2024-06-21,1.40,1,16,15,
785961032688933800,Hyggelig 2-roms leilighet,492109887,Herman,,Grünerløkka,59.92129,10.77402,Entire home/apt,800,3,2,2023-01-17,0.11,2,362,0,
785987931456211040,"Sentral leilighet, nyoppusset",55895190,Anders Wilhelmsen,,Frogner,59.91298325270835,10.723666435887472,Entire home/apt,2507,2,7,2023-08-25,0.39,1,275,2,
786647598068996377,Apartment at Rodeløkka,84418994,Siavash,,Grünerløkka,59.92593129999999,10.7727731,Entire home/apt,1600,3,4,2024-05-04,0.22,1,243,1,
786731723080856248,Kristian's 1904 apartment,46983926,Kristian,,Gamle Oslo,59.90823330000001,10.7746509,Entire home/apt,,1,23,2023-10-28,1.28,1,0,9,
786766028729515565,Hyggelig leilighet sentralt,35791481,Lisa,,Grünerløkka,59.93239788304465,10.779775232076645,Entire home/apt,900,2,1,2023-06-10,0.08,1,25,0,
787805807065395570,Supersentral leilighet med sjarm,97828127,Lars,,Gamle Oslo,59.91283511361869,10.765140327414448,Entire home/apt,1486,3,8,2023-08-10,0.69,1,16,8,
788165911615199767,Sommerro House: new and modern flat at Solli Plass,54518167,Helle,,Frogner,59.915581538133665,10.719602119573958,Entire home/apt,2000,3,6,2024-05-03,0.45,1,4,5,
789739673739942592,Nydelig studioleilighet i sentrum av Oslo,130095483,Bahar,,Grünerløkka,59.92486899999999,10.757916,Entire home/apt,1314,3,6,2023-09-19,0.41,1,173,2,
789888004940491989,"Hotellrom med eget kjøkken, nytt i 2023!",190489319,Tor Johan,,Grünerløkka,59.9329143,10.7951007,Entire home/apt,784,1,42,2024-06-28,4.23,1,179,42,
790971857941528151,Leilighet på Barcode Oslo!,492952107,Baris,,Gamle Oslo,59.9080617,10.7593722,Entire home/apt,2550,2,36,2024-06-23,2.17,1,5,25,
